"ETHNOLOGUE 16 ed                         "						
"Language Name"	"iso"	"Classification"	"No. of Speakers"	"Latitude"	"Longitude"	"Misc."
"Loko"	"lok"	71	138000	9.33	-12.08	
"Mende"	"men"	81	1499700	7.83	-11.5	
"Bankagooma"	"bxw"	31	6000	11.67	-5.5	
"Dzuungoo"	"dnn"	51	13400	11	-5	3
"Duungooma"	"dux"	5	70000	10.92	-5.92	
"Jowulu"	"jow"	5	11000	10.83	-5.5	
"Seeku"	"sos"	51	17000	11.08	-4.62	3
"Konabere"	"bbo"	41	60000	11.83	-4.42	
"S Bobo M"	"bwq"	6	311691	11.5	-4.33	
"Tm Bozo"	"boo"	51	2500	13.83	-7.42	
"Ty"	"boz"	8	117696	15	-4	
"H"	"bzx"	8	117696	13.92	-5.5	
"J"	"bze"	7	197000	15.5	-4	
"Soninke"	"snk"	6	1250000	15	-10.5	
"Bissa"	"bib"	22	581900	11.5	-0.5	
"Boko"	"bqc"	41	110000	10.5	3.5	3
"Bokobaru"	"bus"	5	30000	9.62	3.95	3
"Busa"	"bqp"	5	40000	9.67	4	3
"Shanga"	"sho"	5	5000	11.5	4	
"Kyenga"	"tye"	5	5000	11.63	3.6	
"S Samo"	"sbd"	41	85000	13	-3	
"M"	"stj"	5	105000	13.25	-3.83	
"M"	"sym"	5	38000			
"Guro"	"goa"	31	332100	7	-6	
"Yaoure"	"yre"	61	24600	6.96	-5.55	
"Mann"	"mev"	51	259000	7	-9	
"Dan"	"daf"	61	975800	7.33	-8.17	
"Toura"	"neb"	71	38500	7.9	-7.5	
"Gagu"	"ggu"	41	36595	6.5	-5.5	
"Beng"	"nhb"	6	17000	7.83	-4.25	
"Mwan"	"moa"	5	17000	7.9	-5.95	
"Wan"	"wan"	6	22000	7.8	-5.8	
"Bidyogo"	"bjg"	12	29900	11.33	-16	"         (ATLANTIC: Bi)"
"Balanta-G"	"bjt"	32	82800	12.25	-15.33	"         (N)"
"B-K"	"ble"	6	423000	12.17	-15.33	
"Bayot"	"bda"	51	18790	12.5	-16.33	
"Bandial"	"bqj"	61	11200	12.58	-16.42	
"Gusilay"	"gsj"	9	15400			
"Jola-Fe"	"eja"	8	26030	12.25	-16.5	
"Kerak"	"hhr"	9	13200	12.42	-16.67	
"Jola-Fo"	"dyo"	8	413490	13	-16	
"J-K"	"csk"	8	45100	12.5	-16.67	
"Karon"	"krx"	71	15000	12.83	-16.75	
"Mlomp"	"mlo"	81	5400	12.83	-16.58	
"Kuwaataay"	"cwt"	71	6210	12.5	-16.75	
"Mankanya"	"knf"	51	75050	12.08	-15.92	
"Mandjak"	"mfv"	61	315300	12	-16.25	
"Papel"	"pbo"	61	140200	11.92	-15.92	
"Laalaa"	"cae"	41	12000	14.92	-16.92	2
"Palor"	"fap"	5	10700	14.83	-16.75	2
"Ndut"	"ndv"	5	38600	14.92	-16.92	2
"Saafi-S"	"sav"	5	114000	14.63	-17	2
"Noon"	"snf"	5	32900	14.83	-16.83	2
"Bainouk-G"	"bab"	41	8860			
"B-S"	"bcb"	6	1850	12.5	-16	
"B-G"	"bcz"	6	32520	13	-16.25	
"Kasanga"	"ccj"	51	690	12.33	-15.92	
"Kobiana"	"kcj"	61	1090	12.33	-16	
"Biafada"	"bif"	51	44900	11.42	-15.17	
"Oniyan"	"bsc"	6	22510	12.67	-13	
"Wamey"	"cou"	6	23670	12.5	-13.25	
"Badyara"	"pbp"	6	12730	12.5	-13.67	
"Bedik"	"tnr"	6	3375	12.75	-12.5	
"Baga Mbotemi"	"bgm"	41	0			
"Mbulungish"	"mbv"	51	5000	10.92	-14.75	
"Nalu"	"naj"	51	21830	10.92	-15	
"WN Fulfulde"	"fuh"	41	1230000	14	0	2
"CEN"	"fuq"	7	450000	15	7	2
"N"	"fuv"	7	1711000	8.17	10.5	
"A"	"fub"	6	919600	9.17	13.5	2
"B"	"fui"	7	180000	11.75	16	
"Pular"	"fuf"	6	2929200	11.5	-12.5	
"M"	"ffm"	7	1008500	15	-5	
"B"	"fue"	7	328200	11	3.5	
"Pulaar"	"fuc"	6	3691000	15	-14	
"G Wolof"	"wof"	51	185000	13.5	-16.2	
"Wolof"	"wol"	6	3976500	15.25	-16	
"Serer"	"srr"	51	1161900	14.2	-16.3	
"WC Limba"	"lia"	32	335000	9.67	-12	"         (S)"
"E"	"lma"	5	4600	10	-12	
"Bom"	"bmf"	41	5580			
"Bullom So"	"buy"	81	8350	9	-13.17	
"Sherbro"	"bun"	71	135000	7.5	-12.5	
"Krim"	"krm"	81	500	7.25	-11.83	
"N Kissi"	"kqs"	61	326500	8.83	-10.17	
"S"	"kss"	7	200000	8.5	-10.25	
"Gola"	"gol"	51	107300	7.25	-10.83	
"Baga Binari"	"bcg"	51	3000	10.3	-14.3	
"B Koga"	"bgo"	71	0			
"B Manduri"	"bmd"	71	4000	10.83	-14.55	
"B Kaloum"	"bqf"	71	-1			
"B Sitemu"	"bsp"	71	4000	10.5	-14.5	
"B Sobane"	"bsv"	71	-1			
"Landoma"	"ldm"	71	14400	10.83	-14	
"Themne"	"tem"	61	1230000	8.67	-13.08	
"Mansoanka"	"msw"	41	17100	12.25	-15.17	
"Defaka"	"afn"	22	300	4.58	7.5	"         (IJOID)"
"Kalabari"	"ijn"	31	257764	4.5	6.67	
"Kirike"	"okr"	5	248000	4.58	7	
"Ibani"	"iby"	5	60000	4.42	7.25	
"SE Ijo"	"ijs"	4	71500	4.5	6.42	
"Nkoroo"	"nkx"	4	4550	4.58	7.42	
"Biseni"	"ije"	4	4800	5.37	6.5	
"Okodia"	"okd"	4	3600	5.25	6.42	
"Oruma"	"orr"	5	5000	4.92	6.42	
"Izon"	"ijc"	4	1000000	4.92	5.67	
"AT Dogon"	"dti"	22	500	14.67	-3.12	"         (VOLTA-CONGO: DOGON)"
"BD"	"dbu"	4	24700			
"B"	"dgb"	4	1000	14.67	-3.8	
"DD"	"dbg"	4	15700			
"DS"	"dds"	4	45300			
"J"	"djm"	4	130000	14.4	-2.4	
"KS"	"dkl"	4	24000	14.4	-3.85	
"TU"	"dtu"	4	3000	14.88	-3.07	
"TK"	"dtk"	4	127000			
"TK"	"dtm"	4	132800			
"TS"	"dts"	4	50000	14.5	-3.33	
"TT"	"dtt"	4	2900			
"WK"	"dwl"	4	2000	15	-2.95	
"YD"	"dym"	4	2000	14.62	-3.13	
"T Aizi"	"ahi"	32	9000	5.33	-4.67	"         (KRU)"
"M"	"ahm"	5	2000	5.25	-4.5	
"A"	"ahp"	5	6500	5.25	-4.5	
"Kuwaa"	"blh"	41	12800	7.5	-10	
"Siamou"	"sif"	41	40000	11	-4.92	3
"Bakwe"	"bjw"	41	10300	5.25	-6.58	
"Wane"	"hwa"	6	2100			
"G Bete"	"btg"	51	150000	6	-6	
"Kouya"	"kyf"	7	10117			
"G Bete"	"bet"	6	130000	6.33	-6.5	
"D"	"bev"	7	130000	6.25	-6.25	
"Godie"	"god"	7	26448	5.42	-5.83	
"L Dida"	"dic"	5	93800	5.83	-5.42	
"Y Dida"	"gud"	6	101600	5.5	-5	
"Neyo"	"ney"	6	9200			
"Kodia"	"kwp"	5	837	5.5	-6.33	
"Bassa"	"bsq"	41	408730	6	-9.5	2
"Gbii"	"ggb"	6	5600	6	-9	
"Dewoin"	"dee"	61	8100	6.58	-10.92	
"Glio-Oubi"	"oub"	51	6000	5.83	-7.5	
"P Krumen"	"ktj"	61	100			
"P"	"pye"	7	20000			
"T"	"ted"	7	31213	4.59	-7.26	
"G Grebo"	"gec"	6	64400			
"N"	"gbo"	7	84500	5.25	-8	
"S"	"grj"	7	61600	4.5	-7.75	
"C"	"grv"	7	30800	4.92	-7.92	
"B"	"gry"	7	23700	5	-8	
"Klao"	"klu"	51	222620	4.75	-8.75	23
"Tajuasohn"	"tja"	6	9600	5.67	9	
"Daho-Doo"	"das"	51	4000	5.75	-7.33	
"Glaro-Twabo"	"glr"	7	4273	5.5	-7.5	
"S We"	"gxx"	7	292500	6.67	-7.75	
"W"	"wec"	7	25188			
"Sapo"	"krn"	7	36400	5.67	-8.5	
"W Krahn"	"krw"	7	65400	6.17	-8.5	
"E"	"kqo"	6	53200	5.83	-7.83	
"Nyabwa"	"nwb"	6	42700			
"N We"	"wob"	6	156300	7.42	-7.33	
"Avatime"	"avn"	32	24000	6.83	0.42	"         (KWA)"
"Nyangbo"	"nyb"	6	6400	6.75	0.42	
"Tafi"	"tcd"	6	4400	6.82	0.25	
"Aja"	"ajg"	51	512000	7	1.75	
"Gun"	"guw"	7	579000	6.58	2.67	
"Ayizo G"	"ayb"	7	227000	6.58	2.25	
"Defi G"	"gbh"	7	13500			
"Tofin G"	"tfi"	7	66000	6.67	2.63	
"Weme G"	"wem"	7	60000	6.67	2.5	
"Aguna"	"aug"	6	3470	7.55	1.75	
"Ci G"	"cib"	6	25000	6.83	2.03	
"Ewe"	"ewe"	6	3112400	6.33	0.42	
"Fon"	"fon"	6	1435500	6.42	2.17	
"Maxi G"	"mxl"	7	91300	8.17	2.17	
"Gbesi G"	"gbs"	6	65000			
"E Xwla G"	"gbx"	6	80000			
"Kpessi"	"kef"	6	4000	8.08	1.17	
"Kotafon G"	"kqk"	6	100000	6.67	1.67	
"Gen"	"gej"	6	327000	6.25	1.75	
"Saxwe G"	"sxw"	6	6272	6.67	1.87	
"Waci G"	"wci"	6	475500	6.5	1.5	
"Wudu"	"wud"	6	2000	7.58	1.5	
"Xwela G"	"xwe"	6	65000			
"W Xwla G"	"xwl"	6	71000	6.37	2.55	
"Animere"	"anf"	51	700	7.6	0.42	
"Akebu"	"keu"	61	56400	7.78	0.92	
"Adangbe"	"adq"	51	2200	6.42	0.67	
"Igo"	"ahl"	61	6000	6.67	0.67	
"Tuwuli"	"bov"	61	11400	7.33	0.4	
"Ikposo"	"kpo"	61	162500	7.5	0.83	
"Dangme"	"ada"	41	800000	6.67	-0.08	
"Ga"	"gaa"	6	600000	5.67	-0.17	
"Abe"	"aba"	51	170000	5.83	-4.25	2
"Abidji"	"abi"	61	50500	5.67	-4.58	
"Adioukrou"	"adj"	61	100000	5.42	-4.58	
"Attie"	"ati"	51	381000	6	-3.75	
"Alladian"	"ald"	51	23000	5.17	-4.33	
"Avikam"	"avi"	61	21000	5.1	-5.43	
"Adele"	"ade"	51	27300	8.17	0.5	
"Anii"	"blo"	71	45900	9.25	1.75	
"Ega"	"ega"	61	2500	5.5	-5.5	
"Siwu"	"akp"	61	27000	7.25	0.42	
"Lelemi"	"lef"	81	48900	7.33	0.5	2
"Sekpele"	"lip"	71	23400	7.17	0.58	
"Selee"	"snw"	81	11300	7.17	0.42	
"Logba"	"lgq"	61	7500	6.92	0.42	
"Ebrie"	"ebr"	61	75859	5.33	-4.08	
"Mbato"	"gwa"	71	25000			
"Abron"	"abr"	61	1181700	8	-3	
"Akan"	"aka"	9	8300000	6.5	-1.25	2
"Wasa"	"wss"	9	309000	5.75	-2.25	
"Tchumbuli"	"bqa"	91	2500	8.5	2.58	
"Anyin"	"any"	81	860000	7	-3.5	
"A Morofo"	"mtb"	10	300000	6.17	-4.67	
"Baoule"	"bci"	10	2130000	7	-5	
"Anufo"	"cko"	10	137600	10.08	0.25	
"Sehwi"	"sfw"	10	250000	6.5	-3	
"Ahanta"	"aha"	91	142000	4.87	-2	
"Jwira-Pepesa"	"jwi"	101	18000	5.08	-2.08	
"Nzema"	"nzi"	10	328700	5.17	-2.5	
"Gikyode"	"acd"	71	10400	8.33	0.58	
"Ginyanga"	"ayg"	9	12000	8.23	1	
"Gonja"	"gjn"	9	230000	8.83	-0.75	
"Kplang"	"kph"	9	1600	8.08	-0.83	
"Krache"	"kye"	9	58000	8	0	
"Nawuri"	"naw"	9	14000	8.5	0.08	2
"Chumburung"	"ncu"	9	69000	7.75	0.25	
"Nkonya"	"nko"	9	28000	7.17	0.25	
"Nchumbulu"	"nlu"	9	1800			
"Dwang"	"nnu"	9	8200	7.67	-0.5	
"Dompo"	"doy"	91	65	8.15	-2.37	
"Foodo"	"fod"	91	25500	9.58	1.5	
"Awutu"	"afu"	81	180000	5.42	-0.58	
"Cherepon"	"cpn"	91	111000	6	-0.08	
"Gua"	"gwx"	9	60200	6.5	0.17	
"Larteh"	"lar"	9	74000	6	-0.08	
"Krobu"	"kxb"	71	9920			
"Abure"	"abu"	71	55120	5.25	-3.5	
"Beti"	"eot"	81	200	5.25	-3.33	
"Baatonum"	"bba"	32	560000	10	2.5	"         (GUR)"
"Bomu"	"bmq"	51	158000	13.33	-4.67	3
"Buamu"	"box"	8	185945	11.67	-3.83	2
"LL"	"bwj"	8	69210	11.58	-3.17	
"C"	"bwy"	8	24000	11.42	-3	
"Koromfe"	"kfz"	71	198000	14.25	-0.92	
"Buli"	"bwu"	71	150000	10.5	-1.25	
"Konni"	"kma"	91	3800	10.25	-1.58	
"Biali"	"beh"	81	66000	11.33	1.17	
"Mbelime"	"mql"	91	24500	10.5	0.92	
"Ditammari"	"tbz"	9	147500	10.25	1.25	
"Waama"	"wwa"	9	50000	10.58	1.67	
"Ngangam"	"gng"	81	66000	10.25	0.42	
"Bimoba"	"bim"	9	120000	10.5	0	
"Moba"	"mfq"	10	190800	10.67	0.12	
"Konkomba"	"xon"	9	550100	10	0.08	
"Gourmanchema"	"gux"	91	812500	12.25	1	2
"Akaselem"	"aks"	91	47500	8.83	1.33	
"Ntcham"	"bud"	10	157000	10.08	0.5	
"Nateni"	"ntm"	91	66000	10.5	1.17	
"Miyobe"	"soy"	91	8700	10	1.42	
"Notre"	"bly"	81	1500	10.67	1.33	
"M Birifor"	"bfo"	91	108000	10.5	-3	
"S"	"biv"	12	129308	9.67	-2.67	
"S Dagaare"	"dga"	11	700000	10.5	-2.67	
"D"	"dgd"	12	21000	11.5	-2.33	
"N Dagara"	"dgi"	12	388000	11	-3	
"Farefare"	"gur"	10	845100	10.83	-0.92	
"Moore"	"mos"	10	5061700	12.83	-1.25	3
"Safaliba"	"saf"	10	4000	9	-2.55	
"Wali"	"wlx"	10	138000	9.92	-2.42	
"Dagbani"	"dag"	9	800000	9.58	-0.5	2
"Kusaal"	"kus"	10	437000	10.92	-0.33	
"Mampruli"	"maw"	10	220000	10.33	-0.67	
"Hanga"	"hag"	10	6800	9.33	-1.58	
"Kamara"	"jmr"	10	3000			
"Kantosi"	"xkt"	10	2300	10.5	-1.33	
"Nawdm"	"nmz"	81	145600	8.67	1	
"Yom"	"pil"	9	74000	9.83	1.83	
"Dogoso"	"dgs"	61	9000	10	-4.33	
"Khe"	"kqg"	81	1300	9.83	-4.17	
"Dyan"	"dya"	71	14100	10.83	-3.58	
"Dogose"	"dos"	71	20000	10.17	-4	
"Khisa"	"kqm"	8	8000	9.75	-4.33	
"Kaansa"	"gna"	81	6000	10.33	-3.58	
"Bago-K"	"bqg"	71	7500	8.42	1.5	
"Tem"	"kdh"	91	307100	8.67	0.5	
"Chala"	"cll"	9	3000	8	0.5	
"Lukpa"	"dop"	9	63581	9.75	1.42	
"Kabiye"	"kbp"	9	730000	9.67	1.17	
"Lama"	"las"	9	177000	9.67	1.17	
"Delo"	"ntr"	9	16300	7.92	0.5	
"Kalamse"	"knz"	81	9568	13.58	-3.08	
"Lyele"	"lee"	91	130000	12.5	-2.67	2
"S Nuni"	"nnw"	91	167670	11.5	-2	2
"N"	"nuv"	9	50000	12.17	-3	2
"Pana"	"pnq"	91	7800	13.25	-3.33	
"Kasem"	"xsm"	91	250000	11.25	-1.25	2
"Chakali"	"cli"	81	6000	9.83	-1.92	
"Winye"	"kst"	91	20000	11.87	-2.92	
"Deg"	"mzw"	91	27500			
"Phuie"	"pug"	91	14285	11.33	-3.1	
"Paasaal"	"sig"	91	36000	10.25	-1.92	2
"T Sisaala"	"sil"	9	105000	10.75	-2	
"Sissala"	"sld"	9	13000	11.03	-2.5	
"W Sisaala"	"ssl"	9	30000	10.83	-2.67	
"Tampulma"	"tpm"	91	16000	10.42	-0.58	
"Vagla"	"vag"	91	13500	9.42	-2.42	
"Cerma"	"cme"	71	63100	10.25	-4.83	2
"Turka"	"tuz"	8	37000	10.67	-5	
"B Kulango"	"kzc"	51	104000	8.25	-3.33	
"B"	"nku"	6	157500	9	-3	
"Lobi"	"lob"	51	442000	10.5	-3.25	
"E Karaboro"	"xrb"	51	40605	10.5	-4.5	
"W"	"kza"	7	30200	10.67	-4.5	
"Palaka Senouf"	"plr"	61	8000			
"Nafaanra"	"nfr"	61	61000	8	-2.58	3
"Cebaara Senou"	"sef"	61	862000	9.5	-6.25	
"Senara S"	"seq"	7	50000	10.52	-5.32	
"Nyarafolo S"	"sev"	7	48000			
"Syenara S"	"shz"	7	136500	10.67	-5.83	
"Mamara S"	"myk"	61	737802	12.5	-5.5	
"Supyire S"	"spp"	7	350000	11.5	-5.58	
"Nanerige S"	"sen"	7	50000	11.83	-5	
"Sicite S"	"sep"	7	38000	11	-5.33	3
"Shempire S"	"seb"	71	100000			
"Djimini S"	"dyi"	61	95500	8.42	-4.42	
"Tagwana S"	"tgw"	7	138100			
"Loma"	"loi"	51	8007			
"Teen"	"lor"	6	8100	10	-3.5	
"Tiefo"	"tiq"	51	1000	10.72	-4.53	
"N Toussian"	"tsp"	51	19500	11	-4.67	3
"S"	"wib"	6	19500	10.83	-4.67	3
"Viemo"	"vig"	51	8000	10.8	-3.85	
"Natioro"	"nti"	51	2400	10.75	-5.17	
"Wara"	"wbf"	61	4500	10.72	-5.37	
"S Fali"	"fal"	42	20000	9.5	13.58	"         (ADAMAWA)"
"N"	"fll"	7	16000	9.92	13.67	
"Gey"	"guv"	61	-1	9.33	13.58	
"Kam"	"kdx"	61	5000	8	10.92	
"Kwa"	"kwb"	61	7000	9.42	11.42	
"Duli"	"duz"	61	-1			
"Peere"	"pfe"	81	15000	7.75	12.42	
"Doyayo"	"dow"	91	18000	8.67	13.08	
"Gimnime"	"gmn"	101	3000			
"Gimme"	"kmp"	121	3000	8.58	12.67	
"Koma"	"kmy"	111	35000	8.75	12.67	
"Mom Jango"	"ver"	121	110520	8.83	12.58	
"Longto"	"wok"	91	2400	8.33	13.08	
"Duupa"	"dae"	81	5000	8.58	13.42	
"Dii"	"dur"	91	47000	8	14	
"Dugun"	"ndu"	9	7000	8.42	13.42	
"Kolbila"	"klc"	71	2500	8.25	13.25	
"Nyong"	"muo"	81	30000	5.92	10.42	
"Samba Leko"	"ndi"	8	62000	8.5	12.5	
"Wom"	"wom"	81	5000	8.92	12.45	
"Gengle"	"geg"	71	4000			
"Kumba"	"ksm"	91	3416	8.83	12	
"Mumuye"	"mzm"	91	400000	9	11.67	
"Pangseng"	"pgs"	91	0			
"Rang"	"rax"	91	0			
"Teme"	"tdo"	91	4000	8.75	11.38	
"Waka"	"wav"	91	5000	8.78	11.5	
"Yendang"	"yen"	81	62640	9	12.2	
"Bali"	"bcn"	9	2000	8.82	11.3	
"Kugama"	"kow"	9	5000	8.92	12.17	
"Kpasam"	"pbn"	9	3000	8.75	11.25	
"Nimbari"	"nmr"	71	-1	9.67	13.83	
"Bua"	"bub"	61	7708	10	18	
"Bolgo"	"bvo"	81	1800	11	18.83	
"Fania"	"fni"	81	1100	10.33	18.67	
"Bon Gula"	"glc"	81	1200	10.42	19.5	
"Gula Iro"	"glj"	8	3500	10.25	19.42	
"Zan Gula"	"zna"	8	5000	10.67	18.83	
"Koke"	"kou"	81	600	10.75	18.33	
"Niellim"	"nie"	81	5157	9.75	17.75	
"Noy"	"noy"	81	36			
"Tunia"	"tug"	81	2255	9.42	18.17	
"Day"	"dai"	71	49916	8.75	17.83	
"Besme"	"bes"	71	1228	9.58	16.08	
"Goundo"	"goy"	81	30	9.5	16.25	
"Kim"	"kia"	81	15354	9.92	15.92	
"Kare"	"kbn"	71	97463	6.67	16.33	
"Karang"	"kzr"	10	18000	7.67	15	
"Nzakambay"	"nzy"	10	31501	7.67	15.75	
"Pana"	"pnz"	10	85980	7.25	15.75	
"Kuo"	"xuo"	91	14780	8	15.5	
"Dama"	"dmm"	81	50	8.67	14.08	
"Mono"	"mru"	10	300	8.75	14.25	
"Ndai"	"gke"	101	5	8.08	14.33	
"Mambai"	"mcs"	91	10000	9.5	13.92	
"Mundang"	"mua"	101	205700	9.67	14.5	
"Tupuri"	"tui"	101	229000	10.17	14.75	
"Mbum"	"mdd"	81	51260	7.75	13.17	
"Dek"	"dek"	81	2975			
"Laka"	"lak"	81	5000	9.17	11.25	
"Pam"	"pmn"	81	30	8	14.33	
"Oblo"	"obl"	61	0	8.2	14.3	
"Kyak"	"bka"	61	5000	9.5	11.33	
"Burak"	"bys"	81	4000	9.5	11.08	
"Maghdi"	"gmd"	81	2000			
"Dza"	"jen"	81	20131	9.25	11.33	
"Moo"	"gwg"	8	5000	9.5	11.25	
"Leelau"	"ldk"	81	5000			
"Mingang Doso"	"mko"	8	3000	9.25	11.33	
"Loo"	"ldo"	81	8000	9.42	11	
"Mak"	"pbl"	81	5693	9.33	11.17	
"Tha"	"thy"	81	1000	9.22	11.17	
"Longuda"	"lnu"	71	32000	9.75	11.83	
"Awak"	"awo"	71	6000	9.87	11.33	
"Kamo"	"kcq"	91	20000	9.92	11.33	
"Dijim-Bwilim"	"cfa"	81	25000	9.67	11.5	
"Tso"	"ldp"	9	16000	9.53	11.5	
"Dadiya"	"dbd"	81	30000	9.58	11.33	
"Bangwinji"	"bsj"	81	6000	9.58	11.17	
"Tula"	"tul"	91	30000	9.87	11.53	
"Waja"	"wja"	91	60000	10	11.67	
"Kaan"	"ldl"	71	10000	9.75	12.17	
"Mboi"	"moi"	81	19000	9.92	12.58	
"Lala-Roba"	"lla"	81	46000	9.92	12.08	
"Voro"	"vor"	9	0	9.78	12.05	
"Bena"	"yun"	9	95000	9.75	12.33	
"Banda-Bambari"	"liy"	52	183000	6.5	20.75	"         (UBANGI)"
"B-Banda"	"bpd"	9	102000	6	22.83	
"B-Mbres"	"bqk"	9	42500	6.75	20	
"B-Ndele"	"bfl"	9	35500	8	22	
"MS Banda"	"bjo"	9	102000	5	21	
"Gobu"	"gox"	10	12000	4.92	19.83	
"Kpagua"	"kuw"	10	3830	5	20.17	
"Mono"	"mnh"	10	65000	4	19	
"Ngundu"	"nue"	10	5095			
"TV Banda"	"tor"	9	24000	5.58	20.5	
"Banda-Yangere"	"yaj"	8	26500	4	16.5	
"Langbashe"	"lna"	7	43000	5	23	
"SC Banda"	"lnl"	8	153000	4.5	21.25	
"Mbandja"	"zmz"	7	362460	3.5	20.83	
"Ngbundu"	"nuu"	7	16000	3.58	18.67	
"WC Banda"	"bbp"	7	7500	6	20.33	
"Dongo"	"doo"	61	12900	3	30	
"Mba"	"mfc"	91	36087	1	25	23
"Ma"	"msj"	91	4700	3.5	28	
"Ndunga"	"ndt"	91	2500	2.25	21.5	
"Mayogo"	"mdm"	81	100000	3.17	28.17	
"Bangba"	"bbe"	11	11000	3.42	28.25	
"Mundu"	"muh"	101	25800	4.5	30	
"Baka"	"bkc"	91	43200	2.58	13.58	
"Limassa"	"bme"	11	0			
"Gundi"	"gdi"	11	9000	3.33	16	
"Ganzi"	"gnz"	11	1400			
"Ngombe"	"nmj"	111	1450	3.92	15.25	
"Gilima"	"gix"	101	12000	4.5	19	
"Ngbaka Mabo"	"nbm"	11	189553	4.42	18.75	
"Ng Pendi"	"pe0"	11	0	4	18.5	
"Buraka"	"bkg"	101	3800	4.5	20.75	
"Gbanziri"	"gbg"	11	17500	4.83	20.25	
"Kpala"	"kpl"	101	3000	3.9	19.3	
"Monzombo"	"moj"	111	12600	3	18.42	
"Yango"	"yng"	111	3000	2.83	19	
"Feroge"	"fer"	71	8000	8.67	25.75	
"Mangayat"	"myj"	9	400			
"Indri"	"idr"	81	700	8.83	26	
"Togoyo"	"tgy"	91	-1950			
"Bai"	"bdj"	81	2500	7.67	26.5	
"Belanda Viri"	"bvi"	10	16000	6.75	27.5	
"Ndogo"	"ndz"	9	0	7.75	27	
"Sere"	"swf"	10	2528	4.67	27.5	
"Tagbu"	"tbm"	10	17000			
"Bokoto"	"bdt"	61	130000	4.92	16.5	
"Gbaya-Bossang"	"gbp"	8	200000	6.67	17.5	
"G-Bozoum"	"gbq"	8	32500	6	16.58	
"Gbanu"	"gbv"	8	95000	5.33	17.5	
